init_date,valid_date,lead_time_days,region_id,region_name,zone,forecast_source,precip_forecast_mm,temp_forecast_degc,mslp_forecast_hpa,pressure_tendency_24h,rh_850_pct,wind_shear_850_200_ms,cape_j_kg,ensemble_spread,observation_source,verification_status,actual_precip_mm,actual_temp_degc,actual_mslp_hpa,rain_error_mm,abs_rain_error_mm,temp_error_degc,abs_temp_error_degc,mslp_error_hpa,abs_mslp_error_hpa,climatological_z_error,contingency_category,is_bust,bust_category,bust_trigger
2019-07-01 00:00,2019-07-02,1,IND-NW-HIM,Western Himalayas,North,NOAA_GEFS_v12_2019070100,0.0,-6.4,1022.1,-0.7,66.5,12.8,805.0,0.96,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.0,-6.7,1021.0,0.0,0.0,0.3,0.3,1.1,1.1,0.0,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-03,2,IND-NW-HIM,Western Himalayas,North,NOAA_GEFS_v12_2019070100,0.0,-5.9,1022.2,-0.9,68.0,13.6,860.0,1.12,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.0,-5.5,1019.6,0.0,0.0,-0.4,0.4,2.6,2.6,0.0,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-04,3,IND-NW-HIM,Western Himalayas,North,NOAA_GEFS_v12_2019070100,0.0,-5.9,1018.6,-1.1,69.5,14.4,915.0,1.28,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.0,-5.2,1017.0,0.0,0.0,-0.7,0.7,1.6,1.6,0.0,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-05,4,IND-NW-HIM,Western Himalayas,North,NOAA_GEFS_v12_2019070100,1.8,-6.9,1014.1,-1.3,71.0,15.2,970.0,1.44,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.0,-6.1,1013.8,1.8,1.8,-0.8,0.8,0.3,0.3,0.14,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-06,5,IND-NW-HIM,Western Himalayas,North,NOAA_GEFS_v12_2019070100,3.9,-4.7,1012.1,-1.5,72.5,16.0,1025.0,1.6,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.0,-5.1,1013.2,3.9,3.9,0.4,0.4,-1.1,1.1,0.31,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-07,6,IND-NW-HIM,Western Himalayas,North,NOAA_GEFS_v12_2019070100,6.5,-5.6,1014.4,-1.7,74.0,16.8,1080.0,1.76,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.0,-3.8,1013.4,6.5,6.5,-1.8,1.8,1.0,1.0,0.52,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-08,7,IND-NW-HIM,Western Himalayas,North,NOAA_GEFS_v12_2019070100,0.0,-2.8,1013.2,-1.9,75.5,17.6,1135.0,1.92,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.1,-3.1,1013.2,-0.1,0.1,0.3,0.3,0.0,0.0,0.01,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-09,8,IND-NW-HIM,Western Himalayas,North,NOAA_GEFS_v12_2019070100,4.1,-1.7,1010.7,-2.1,77.0,18.4,1190.0,2.08,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.0,-3.1,1011.9,4.1,4.1,1.4,1.4,-1.2,1.2,0.33,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-10,9,IND-NW-HIM,Western Himalayas,North,NOAA_GEFS_v12_2019070100,4.7,-3.0,1011.8,-2.3,78.5,19.2,1245.0,2.24,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.4,-3.0,1012.5,4.3,4.3,0.0,0.0,-0.7,0.7,0.34,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-11,10,IND-NW-HIM,Western Himalayas,North,NOAA_GEFS_v12_2019070100,3.4,-4.7,1014.4,-2.5,80.0,20.0,1300.0,2.4,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.3,-2.8,1013.5,3.1,3.1,-1.9,1.9,0.9,0.9,0.25,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-02,1,IND-NW-PLN,Indo-Gangetic NW Plains,North,NOAA_GEFS_v12_2019070100,0.0,34.4,997.0,-0.7,66.5,12.8,805.0,0.96,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.0,34.5,997.6,0.0,0.0,-0.1,0.1,-0.6,0.6,0.0,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-03,2,IND-NW-PLN,Indo-Gangetic NW Plains,North,NOAA_GEFS_v12_2019070100,0.0,33.9,997.4,-0.9,68.0,13.6,860.0,1.12,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.7,33.4,998.0,-0.7,0.7,0.5,0.5,-0.6,0.6,0.06,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-04,3,IND-NW-PLN,Indo-Gangetic NW Plains,North,NOAA_GEFS_v12_2019070100,0.0,32.6,996.9,-1.1,69.5,14.4,915.0,1.28,ERA5_REANALYSIS_0.25DEG,VERIFIED,0.9,32.2,996.7,-0.9,0.9,0.4,0.4,0.2,0.2,0.08,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-05,4,IND-NW-PLN,Indo-Gangetic NW Plains,North,NOAA_GEFS_v12_2019070100,0.0,32.9,992.9,-1.3,71.0,15.2,970.0,1.44,ERA5_REANALYSIS_0.25DEG,VERIFIED,1.2,31.7,994.9,-1.2,1.2,1.2,1.2,-2.0,2.0,0.11,NOMINAL_ACCORD,0,NOMINAL,Within Acceptable Error Tolerance
2019-07-01 00:00,2019-07-06,5,IND-NW-PLN,Indo-Gangetic NW Plains,North,NOAA_GEFS_v12_2019070100,60.5,28.2,991.1,-2.5,72.5,16.0,1600.0,3.1,ERA5_REANALYSIS_0.25DEG,VERIFIED,1.0,30.7,994.6,59.5,59.5,-2.5,2.5,-3.5,3.5,5.41,NOMINAL_ACCORD,1,CONFIRMED_BUST,Extreme Rain Error (59.5 mm >= 35.0 mm); Climatological Anomaly Exceeded (Z=5.41 >= 2.5)
